# t = 8.6400e+04 ; rmin = 8.6400e+12
#  r            rho             v               T_gas           T_rad           n_elec          L_dep_nuc       L_emit_nuc     
8.81280000e+12  9.97934600e-19  1.02000000e+08  3.00000000e+03  4.82946240e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
8.98560000e+12  9.97934600e-19  1.04000000e+08  3.00000000e+03  4.62929452e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.15840000e+12  9.97934600e-19  1.06000000e+08  3.00000000e+03  4.49208292e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.33120000e+12  9.97934600e-19  1.08000000e+08  3.00000000e+03  4.37947214e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.50400000e+12  9.97934600e-19  1.10000000e+08  3.00000000e+03  4.28154947e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.67680000e+12  9.97934600e-19  1.12000000e+08  3.00000000e+03  4.19401256e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.84960000e+12  9.97934600e-19  1.14000000e+08  3.00000000e+03  4.11434675e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.00224000e+13  9.97934600e-19  1.16000000e+08  3.00000000e+03  4.04098154e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.01952000e+13  9.97934600e-19  1.18000000e+08  3.00000000e+03  3.97263842e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.03680000e+13  9.97934600e-19  1.20000000e+08  3.00000000e+03  3.90859236e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.05408000e+13  9.97934600e-19  1.22000000e+08  3.00000000e+03  3.84832326e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.07136000e+13  9.97934600e-19  1.24000000e+08  3.00000000e+03  3.79132216e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.08864000e+13  9.97934600e-19  1.26000000e+08  3.00000000e+03  3.73734659e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.10592000e+13  9.97934600e-19  1.28000000e+08  3.00000000e+03  3.68595883e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.12320000e+13  9.97934600e-19  1.30000000e+08  3.00000000e+03  3.63692751e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.14048000e+13  9.97934600e-19  1.32000000e+08  3.00000000e+03  3.58992361e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.15776000e+13  9.97934600e-19  1.34000000e+08  3.00000000e+03  3.54492148e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.17504000e+13  9.97934600e-19  1.36000000e+08  3.00000000e+03  3.50177468e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.19232000e+13  9.97934600e-19  1.38000000e+08  3.00000000e+03  3.46023572e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.20960000e+13  9.97934600e-19  1.40000000e+08  3.00000000e+03  3.42033741e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.22688000e+13  9.97934600e-19  1.42000000e+08  3.00000000e+03  3.38191866e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.24416000e+13  9.97934600e-19  1.44000000e+08  3.00000000e+03  3.34480592e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.26144000e+13  9.97934600e-19  1.46000000e+08  3.00000000e+03  3.30890192e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.27872000e+13  9.97934600e-19  1.48000000e+08  3.00000000e+03  3.27417983e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.29600000e+13  9.97934600e-19  1.50000000e+08  3.00000000e+03  3.24057787e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
