# 1 583 1 1
  7.5004e+14  3.31290e+25  1.43810e+05
  7.5011e+14  5.51502e+21  2.40000e+01
  7.5019e+14  1.17192e+22  5.10000e+01
  7.5026e+14  1.79226e+22  7.80000e+01
  7.5034e+14  2.50448e+22  1.09000e+02
  7.5041e+14  4.34250e+22  1.89000e+02
  7.5049e+14  5.92764e+22  2.58000e+02
  7.5056e+14  9.55753e+22  4.16000e+02
  7.5064e+14  1.08667e+23  4.73000e+02
  7.5071e+14  1.28649e+23  5.60000e+02
  7.5079e+14  1.64024e+23  7.14000e+02
  7.5086e+14  1.96404e+23  8.55000e+02
  7.5094e+14  2.37058e+23  1.03200e+03
  7.5101e+14  2.74262e+23  1.19400e+03
  7.5109e+14  3.01358e+23  1.31200e+03
  7.5116e+14  3.64973e+23  1.58900e+03
  7.5124e+14  4.13185e+23  1.79900e+03
  7.5131e+14  4.66458e+23  2.03100e+03
  7.5139e+14  5.13754e+23  2.23700e+03
  7.5146e+14  5.68845e+23  2.47700e+03
  7.5154e+14  6.35652e+23  2.76800e+03
  7.5161e+14  6.85937e+23  2.98700e+03
  7.5169e+14  7.56631e+23  3.29500e+03
  7.5176e+14  8.36984e+23  3.64500e+03
  7.5184e+14  8.88839e+23  3.87100e+03
  7.5191e+14  9.98105e+23  4.34700e+03
  7.5199e+14  1.05086e+24  4.57700e+03
  7.5207e+14  1.15235e+24  5.01900e+03
  7.5214e+14  1.23193e+24  5.36600e+03
  7.5222e+14  1.32626e+24  5.77700e+03
  7.5229e+14  1.37948e+24  6.00900e+03
  7.5237e+14  1.49237e+24  6.50100e+03
  7.5244e+14  1.55454e+24  6.77200e+03
  7.5252e+14  1.63759e+24  7.13400e+03
  7.5259e+14  1.65185e+24  7.19700e+03
  7.5267e+14  1.68406e+24  7.33800e+03
  7.5274e+14  1.64305e+24  7.16000e+03
  7.5282e+14  1.68787e+24  7.35600e+03
  7.5289e+14  1.70787e+24  7.44400e+03
  7.5297e+14  1.66642e+24  7.26400e+03
  7.5304e+14  1.67449e+24  7.30000e+03
  7.5312e+14  1.66424e+24  7.25600e+03
  7.5319e+14  1.67117e+24  7.28700e+03
  7.5327e+14  1.69995e+24  7.41300e+03
  7.5334e+14  1.65389e+24  7.21300e+03
  7.5342e+14  1.64363e+24  7.16900e+03
  7.5350e+14  1.70145e+24  7.42200e+03
  7.5357e+14  1.64971e+24  7.19700e+03
  7.5365e+14  1.64842e+24  7.19200e+03
  7.5372e+14  1.69867e+24  7.41200e+03
  7.5380e+14  1.67077e+24  7.29100e+03
  7.5387e+14  1.67060e+24  7.29100e+03
  7.5395e+14  1.64728e+24  7.19000e+03
  7.5402e+14  1.70188e+24  7.42900e+03
  7.5410e+14  1.65613e+24  7.23000e+03
  7.5417e+14  1.68551e+24  7.35900e+03
  7.5425e+14  1.68307e+24  7.34900e+03
  7.5432e+14  1.65768e+24  7.23900e+03
  7.5440e+14  1.63898e+24  7.15800e+03
  7.5448e+14  1.64408e+24  7.18100e+03
  7.5455e+14  1.66679e+24  7.28100e+03
  7.5463e+14  1.61033e+24  7.03500e+03
  7.5470e+14  1.63901e+24  7.16100e+03
  7.5478e+14  1.64550e+24  7.19000e+03
  7.5485e+14  1.66568e+24  7.27900e+03
  7.5493e+14  1.62067e+24  7.08300e+03
  7.5500e+14  1.64065e+24  7.17100e+03
  7.5508e+14  1.67799e+24  7.33500e+03
  7.5515e+14  1.64352e+24  7.18500e+03
  7.5523e+14  1.65730e+24  7.24600e+03
  7.5531e+14  1.65002e+24  7.21500e+03
  7.5538e+14  1.63342e+24  7.14300e+03
  7.5546e+14  1.61928e+24  7.08200e+03
  7.5553e+14  1.64402e+24  7.19100e+03
  7.5561e+14  1.64092e+24  7.17800e+03
  7.5568e+14  1.64967e+24  7.21700e+03
  7.5576e+14  1.64381e+24  7.19200e+03
  7.5583e+14  1.63656e+24  7.16100e+03
  7.5591e+14  1.65857e+24  7.25800e+03
  7.5599e+14  1.67781e+24  7.34300e+03
  7.5606e+14  1.63171e+24  7.14200e+03
  7.5614e+14  1.65346e+24  7.23800e+03
  7.5621e+14  1.64304e+24  7.19300e+03
  7.5629e+14  1.62621e+24  7.12000e+03
  7.5636e+14  1.68931e+24  7.39700e+03
  7.5644e+14  1.65921e+24  7.26600e+03
