# t = 8.6400e+04 ; rmin = 8.6400e+12
#  r            rho             v               T_gas           T_rad           n_elec          L_dep_nuc       L_emit_nuc     
8.81280000e+12  9.97934600e-19  1.02000000e+08  3.00000000e+03  4.84460092e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
8.98560000e+12  9.97934600e-19  1.04000000e+08  3.00000000e+03  4.66013982e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.15840000e+12  9.97934600e-19  1.06000000e+08  3.00000000e+03  4.53107617e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.33120000e+12  9.97934600e-19  1.08000000e+08  3.00000000e+03  4.42357697e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.50400000e+12  9.97934600e-19  1.10000000e+08  3.00000000e+03  4.32932612e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.67680000e+12  9.97934600e-19  1.12000000e+08  3.00000000e+03  4.24441346e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.84960000e+12  9.97934600e-19  1.14000000e+08  3.00000000e+03  4.16656739e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.00224000e+13  9.97934600e-19  1.16000000e+08  3.00000000e+03  4.09453305e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.01952000e+13  9.97934600e-19  1.18000000e+08  3.00000000e+03  4.02728546e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.03680000e+13  9.97934600e-19  1.20000000e+08  3.00000000e+03  3.96405723e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.05408000e+13  9.97934600e-19  1.22000000e+08  3.00000000e+03  3.90450880e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.07136000e+13  9.97934600e-19  1.24000000e+08  3.00000000e+03  3.84810069e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.08864000e+13  9.97934600e-19  1.26000000e+08  3.00000000e+03  3.79456776e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
