# t = 8.6400e+04 ; rmin = 8.6400e+12
#  r            rho             v               T_gas           T_rad           n_elec          L_dep_nuc       L_emit_nuc     
8.81280000e+12  9.97934600e-19  1.02000000e+08  3.00000000e+03  4.84227221e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
8.98560000e+12  9.97934600e-19  1.04000000e+08  3.00000000e+03  4.65632309e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.15840000e+12  9.97934600e-19  1.06000000e+08  3.00000000e+03  4.52689624e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.33120000e+12  9.97934600e-19  1.08000000e+08  3.00000000e+03  4.41922366e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.50400000e+12  9.97934600e-19  1.10000000e+08  3.00000000e+03  4.32507299e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.67680000e+12  9.97934600e-19  1.12000000e+08  3.00000000e+03  4.24027879e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.84960000e+12  9.97934600e-19  1.14000000e+08  3.00000000e+03  4.16264888e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.00224000e+13  9.97934600e-19  1.16000000e+08  3.00000000e+03  4.09079876e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.01952000e+13  9.97934600e-19  1.18000000e+08  3.00000000e+03  4.02371099e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.03680000e+13  9.97934600e-19  1.20000000e+08  3.00000000e+03  3.96078375e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.05408000e+13  9.97934600e-19  1.22000000e+08  3.00000000e+03  3.90130793e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.07136000e+13  9.97934600e-19  1.24000000e+08  3.00000000e+03  3.84504935e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.08864000e+13  9.97934600e-19  1.26000000e+08  3.00000000e+03  3.79154477e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.10592000e+13  9.97934600e-19  1.28000000e+08  3.00000000e+03  3.74051122e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.12320000e+13  9.97934600e-19  1.30000000e+08  3.00000000e+03  3.69185439e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
