# Ye-0.21a composition profile, full element list, mass fractions.
# Source: Gillanders, Smartt, Sim, Bauswein & Goriely 2022, MNRAS 515, 631, Table 2 (complete version);
# dataset 'Dataset for Modelling the spectra of the kilonova AT2017gfo - I: The photospheric epochs',
# Queen's University Belfast, DOI 10.17034/404fbfbe-5f47-42ff-a7d0-12e7c447ebff,
# file additional_paper_resources/composition_profiles_complete.ascii
# (sha256 9f06304bd86b8c2756793e5eabaa0ba0f9585aa2f1520f54b74b4e977f819bd1), retrieved 2026-09-10. Columns: Z, symbol, mass fraction. Z = 0 is free neutrons.
0,Neut,1.4687321284135256e-08
1,H,2.5319397883838044e-06
2,He,0.0203432409873239
3,Li,6.854497313406987e-13
4,Be,1.0023030789631104e-08
5,B,1.1766190007439608e-08
6,C,3.908643834863064e-09
7,N,1.953200887089194e-07
8,O,1.1235081898071345e-07
9,F,3.782655580127168e-08
10,Ne,1.2465125461014869e-06
11,Na,1.4747371428355496e-05
12,Mg,3.83721985171045e-05
13,Al,1.8903400580991331e-06
14,Si,6.09868209875e-05
15,P,2.0623306698247303e-05
16,S,7.476336710486824e-06
17,Cl,4.986225238514357e-07
18,Ar,4.609922457029747e-06
19,K,6.384882231574982e-07
20,Ca,5.6145933067977454e-05
21,Sc,3.019030764582556e-07
22,Ti,1.4671499443708046e-05
23,V,5.954789281363993e-06
24,Cr,0.0001126048198291
25,Mn,1.6516385212796217e-05
26,Fe,0.0001099604891454
27,Co,1.562492653338561e-07
28,Ni,0.0002395776198183
29,Cu,5.762043658374607e-05
30,Zn,0.0002610197152643
31,Ga,0.0001090518711021
32,Ge,0.0006496221960107
33,As,0.0002507449260352
34,Se,0.005620808171659
35,Br,0.0008692024758978
36,Kr,0.0093147986852967
37,Rb,0.0023562922571122
38,Sr,0.0064729548110921
39,Y,0.0014596886442927
40,Zr,0.0107827223477572
41,Nb,6.034688602563792e-05
42,Mo,0.0060789345565619
43,Tc,0.0003541045129986
44,Ru,0.0135332649060857
45,Rh,0.0014221428966034
46,Pd,0.007512049893001
47,Ag,0.0021920126505517
48,Cd,0.0067822432035536
49,In,0.0002959931031
50,Sn,0.0584358924339394
51,Sb,0.025421981107822
52,Te,0.0989641011963937
53,I,0.0513722364701058
54,Xe,0.0410125796111545
55,Cs,0.0124100296812672
56,Ba,0.0170743525232591
57,La,0.0062568763932086
58,Ce,0.0182825123019252
59,Pr,0.0016500297186233
60,Nd,0.0270048806351611
61,Pm,0.0075310412128486
62,Sm,0.0259662139867109
63,Eu,0.0219756264535221
64,Gd,0.0348622144520609
65,Tb,0.0163553103664151
66,Dy,0.0500932570641704
67,Ho,0.01309174823471
68,Er,0.0412776856114334
69,Tm,0.0121776712785718
70,Yb,0.0223594015129297
71,Lu,0.0038481955549462
72,Hf,0.0107399809489445
73,Ta,0.0032283969308216
74,W,0.0351197040434843
75,Re,0.0139773999211969
76,Os,0.1101097731018913
77,Ir,0.0082267457663387
78,Pt,0.0536689101507093
79,Au,0.0105021277085314
80,Hg,0.0039261717148499
81,Tl,0.0002764582150939
82,Pb,0.0161703564379626
83,Bi,0.0035200375507892
84,Po,4.14252346783674e-07
85,At,5.964827931900345e-10
86,Rn,0.0007801762603579
87,Fr,1.387096150233798e-06
88,Ra,0.0084433641049498
89,Ac,6.815291424194641e-11
90,Th,0.0045688922920224
91,Pa,1.5033943292654225e-05
92,U,0.0101804768039244
