#    time(sec)     E_radiation         L_dep        L_nuc_emit         Mass           E_gas         E_ke
   8.640000e+04    4.304641e+40    0.000000e+00    0.000000e+00    7.009788e+22    0.000000e+00    1.973501e+39
   8.640000e+04    2.724107e+40    0.000000e+00    0.000000e+00    7.009788e+22    0.000000e+00    1.973501e+39
