# t = 8.6400e+04 ; rmin = 8.6400e+12
#  r            rho             v               T_gas           T_rad           n_elec          L_dep_nuc       L_emit_nuc     
8.81280000e+12  9.97934600e-19  1.02000000e+08  3.00000000e+03  4.82922989e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
8.98560000e+12  9.97934600e-19  1.04000000e+08  3.00000000e+03  4.62914582e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.15840000e+12  9.97934600e-19  1.06000000e+08  3.00000000e+03  4.49211340e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.33120000e+12  9.97934600e-19  1.08000000e+08  3.00000000e+03  4.37954760e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.50400000e+12  9.97934600e-19  1.10000000e+08  3.00000000e+03  4.28172955e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.67680000e+12  9.97934600e-19  1.12000000e+08  3.00000000e+03  4.19424928e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
9.84960000e+12  9.97934600e-19  1.14000000e+08  3.00000000e+03  4.11459205e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.00224000e+13  9.97934600e-19  1.16000000e+08  3.00000000e+03  4.04111128e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.01952000e+13  9.97934600e-19  1.18000000e+08  3.00000000e+03  3.97275077e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.03680000e+13  9.97934600e-19  1.20000000e+08  3.00000000e+03  3.90875518e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.05408000e+13  9.97934600e-19  1.22000000e+08  3.00000000e+03  3.84853980e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.07136000e+13  9.97934600e-19  1.24000000e+08  3.00000000e+03  3.79146912e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.08864000e+13  9.97934600e-19  1.26000000e+08  3.00000000e+03  3.73739570e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.10592000e+13  9.97934600e-19  1.28000000e+08  3.00000000e+03  3.68587939e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.12320000e+13  9.97934600e-19  1.30000000e+08  3.00000000e+03  3.63679387e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.14048000e+13  9.97934600e-19  1.32000000e+08  3.00000000e+03  3.58985474e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.15776000e+13  9.97934600e-19  1.34000000e+08  3.00000000e+03  3.54481468e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.17504000e+13  9.97934600e-19  1.36000000e+08  3.00000000e+03  3.50163234e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.19232000e+13  9.97934600e-19  1.38000000e+08  3.00000000e+03  3.46017908e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.20960000e+13  9.97934600e-19  1.40000000e+08  3.00000000e+03  3.42026781e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.22688000e+13  9.97934600e-19  1.42000000e+08  3.00000000e+03  3.38173899e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.24416000e+13  9.97934600e-19  1.44000000e+08  3.00000000e+03  3.34459982e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.26144000e+13  9.97934600e-19  1.46000000e+08  3.00000000e+03  3.30876674e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.27872000e+13  9.97934600e-19  1.48000000e+08  3.00000000e+03  3.27406380e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.29600000e+13  9.97934600e-19  1.50000000e+08  3.00000000e+03  3.24050961e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.31328000e+13  9.97934600e-19  1.52000000e+08  3.00000000e+03  3.20799964e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.33056000e+13  9.97934600e-19  1.54000000e+08  3.00000000e+03  3.17652024e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.34784000e+13  9.97934600e-19  1.56000000e+08  3.00000000e+03  3.14601977e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.36512000e+13  9.97934600e-19  1.58000000e+08  3.00000000e+03  3.11637728e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.38240000e+13  9.97934600e-19  1.60000000e+08  3.00000000e+03  3.08760557e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.39968000e+13  9.97934600e-19  1.62000000e+08  3.00000000e+03  3.05967130e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.41696000e+13  9.97934600e-19  1.64000000e+08  3.00000000e+03  3.03249824e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.43424000e+13  9.97934600e-19  1.66000000e+08  3.00000000e+03  3.00606788e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.45152000e+13  9.97934600e-19  1.68000000e+08  3.00000000e+03  2.98031575e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.46880000e+13  9.97934600e-19  1.70000000e+08  3.00000000e+03  2.95518374e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.48608000e+13  9.97934600e-19  1.72000000e+08  3.00000000e+03  2.93074548e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.50336000e+13  9.97934600e-19  1.74000000e+08  3.00000000e+03  2.90696915e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.52064000e+13  9.97934600e-19  1.76000000e+08  3.00000000e+03  2.88370755e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.53792000e+13  9.97934600e-19  1.78000000e+08  3.00000000e+03  2.86108302e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
1.55520000e+13  9.97934600e-19  1.80000000e+08  3.00000000e+03  2.83899071e+03  4.27696559e-07  0.00000000e+00  0.00000000e+00
