# 1 583 1 1
  7.5004e+14  3.31359e+25  1.43840e+05
  7.5011e+14  3.21709e+21  1.40000e+01
  7.5019e+14  7.58283e+21  3.30000e+01
  7.5026e+14  2.06799e+22  9.00000e+01
  7.5034e+14  2.96400e+22  1.29000e+02
  7.5041e+14  5.05474e+22  2.20000e+02
  7.5049e+14  6.43303e+22  2.80000e+02
  7.5056e+14  8.31685e+22  3.62000e+02
  7.5064e+14  1.11424e+23  4.85000e+02
  7.5071e+14  1.35540e+23  5.90000e+02
  7.5079e+14  1.60806e+23  7.00000e+02
  7.5086e+14  2.05134e+23  8.93000e+02
  7.5094e+14  2.41192e+23  1.05000e+03
  7.5101e+14  2.77477e+23  1.20800e+03
  7.5109e+14  3.14675e+23  1.37000e+03
  7.5116e+14  3.56933e+23  1.55400e+03
  7.5124e+14  4.15946e+23  1.81100e+03
  7.5131e+14  4.66692e+23  2.03200e+03
  7.5139e+14  5.15585e+23  2.24500e+03
  7.5146e+14  5.71611e+23  2.48900e+03
  7.5154e+14  6.32675e+23  2.75500e+03
  7.5161e+14  6.90043e+23  3.00500e+03
  7.5169e+14  7.74540e+23  3.37300e+03
  7.5176e+14  8.22058e+23  3.58000e+03
  7.5184e+14  9.17774e+23  3.99700e+03
  7.5191e+14  9.73525e+23  4.24000e+03
  7.5199e+14  1.04629e+24  4.55700e+03
  7.5207e+14  1.12522e+24  4.90100e+03
  7.5214e+14  1.21241e+24  5.28100e+03
  7.5222e+14  1.29296e+24  5.63200e+03
  7.5229e+14  1.37625e+24  5.99500e+03
  7.5237e+14  1.49743e+24  6.52300e+03
  7.5244e+14  1.62775e+24  7.09100e+03
  7.5252e+14  1.65180e+24  7.19600e+03
  7.5259e+14  1.65323e+24  7.20300e+03
  7.5267e+14  1.69367e+24  7.38000e+03
  7.5274e+14  1.66510e+24  7.25600e+03
  7.5282e+14  1.65134e+24  7.19700e+03
  7.5289e+14  1.67552e+24  7.30300e+03
  7.5297e+14  1.68064e+24  7.32600e+03
  7.5304e+14  1.67518e+24  7.30300e+03
  7.5312e+14  1.67709e+24  7.31200e+03
  7.5319e+14  1.64779e+24  7.18500e+03
  7.5327e+14  1.65315e+24  7.20900e+03
  7.5334e+14  1.65892e+24  7.23500e+03
  7.5342e+14  1.66177e+24  7.24800e+03
  7.5350e+14  1.70306e+24  7.42900e+03
  7.5357e+14  1.65567e+24  7.22300e+03
  7.5365e+14  1.64519e+24  7.17800e+03
  7.5372e+14  1.67208e+24  7.29600e+03
  7.5380e+14  1.67123e+24  7.29300e+03
  7.5387e+14  1.65502e+24  7.22300e+03
  7.5395e+14  1.66081e+24  7.24900e+03
  7.5402e+14  1.70003e+24  7.42100e+03
  7.5410e+14  1.66024e+24  7.24800e+03
  7.5417e+14  1.65734e+24  7.23600e+03
  7.5425e+14  1.63702e+24  7.14800e+03
  7.5432e+14  1.62631e+24  7.10200e+03
  7.5440e+14  1.62177e+24  7.08300e+03
  7.5448e+14  1.64131e+24  7.16900e+03
  7.5455e+14  1.63133e+24  7.12600e+03
  7.5463e+14  1.67166e+24  7.30300e+03
  7.5470e+14  1.69828e+24  7.42000e+03
  7.5478e+14  1.67270e+24  7.30900e+03
  7.5485e+14  1.62541e+24  7.10300e+03
  7.5493e+14  1.63323e+24  7.13800e+03
  7.5500e+14  1.70629e+24  7.45800e+03
  7.5508e+14  1.65443e+24  7.23200e+03
  7.5515e+14  1.65952e+24  7.25500e+03
  7.5523e+14  1.63788e+24  7.16100e+03
  7.5531e+14  1.67199e+24  7.31100e+03
  7.5538e+14  1.61627e+24  7.06800e+03
  7.5546e+14  1.68355e+24  7.36300e+03
  7.5553e+14  1.65961e+24  7.25900e+03
